2018-12-13 12:44:32,978 - The function generate_sift costs 28.511871 seconds
2018-12-13 12:45:05,563 - The function compute_k_means costs 31.337864 seconds
2018-12-13 12:45:09,844 - The function compute_svm costs 4.273391 seconds
2018-12-13 12:45:09,846 - The function train costs 65.379894 seconds
2018-12-13 12:45:09,846 - Start test model
2018-12-13 12:45:11,384 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1252.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,397 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2944.jpg, predict:Coast fact:Highway
2018-12-13 12:45:11,418 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1271.jpg, predict:Street fact:Highway
2018-12-13 12:45:11,431 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2553.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,445 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1304.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,460 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1476.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,475 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2972.jpg, predict:industrial fact:Highway
2018-12-13 12:45:11,488 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1206.jpg, predict:Coast fact:Highway
2018-12-13 12:45:11,504 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1561.jpg, predict:industrial fact:Highway
2018-12-13 12:45:11,519 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1563.jpg, predict:Coast fact:Highway
2018-12-13 12:45:11,534 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2902.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,552 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2641.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,567 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2457.jpg, predict:Coast fact:Highway
2018-12-13 12:45:11,586 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1363.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,613 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2905.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,639 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2643.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,640 - category:Highway correct_ratio:65.0%
2018-12-13 12:45:11,665 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2698.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,686 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2689.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,709 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2598.jpg, predict:Mountain fact:Coast
2018-12-13 12:45:11,730 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/261.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,743 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/517.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,760 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2628.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,778 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/267.jpg, predict:Highway fact:Coast
2018-12-13 12:45:11,794 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/240.jpg, predict:Highway fact:Coast
2018-12-13 12:45:11,812 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/268.jpg, predict:Highway fact:Coast
2018-12-13 12:45:11,827 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/320.jpg, predict:Highway fact:Coast
2018-12-13 12:45:11,852 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/250.jpg, predict:OpenCountry fact:Coast
2018-12-13 12:45:11,867 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/279.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,882 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/251.jpg, predict:Highway fact:Coast
2018-12-13 12:45:11,897 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2623.jpg, predict:Highway fact:Coast
2018-12-13 12:45:11,914 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2621.jpg, predict:OpenCountry fact:Coast
2018-12-13 12:45:11,929 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2740.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,945 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2682.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,957 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2683.jpg, predict:Coast fact:Coast
2018-12-13 12:45:11,972 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/225.jpg, predict:OpenCountry fact:Coast
2018-12-13 12:45:11,987 - image:/Users/weiziyang/CV_DATA/testing_tagged/Coast/2694.jpg, predict:Highway fact:Coast
2018-12-13 12:45:11,988 - category:Coast correct_ratio:45.0%
2018-12-13 12:45:12,012 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/2074.jpg, predict:bedroom fact:Insidecity
2018-12-13 12:45:12,042 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/2935.jpg, predict:Insidecity fact:Insidecity
2018-12-13 12:45:12,076 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1152.jpg, predict:store fact:Insidecity
2018-12-13 12:45:12,099 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1190.jpg, predict:TallBuilding fact:Insidecity
2018-12-13 12:45:12,123 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1143.jpg, predict:bedroom fact:Insidecity
2018-12-13 12:45:12,141 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/2072.jpg, predict:Insidecity fact:Insidecity
2018-12-13 12:45:12,160 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1963.jpg, predict:livingroom fact:Insidecity
2018-12-13 12:45:12,178 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1141.jpg, predict:industrial fact:Insidecity
2018-12-13 12:45:12,202 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1087.jpg, predict:Insidecity fact:Insidecity
2018-12-13 12:45:12,227 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1468.jpg, predict:Street fact:Insidecity
2018-12-13 12:45:12,256 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1861.jpg, predict:TallBuilding fact:Insidecity
2018-12-13 12:45:12,285 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1268.jpg, predict:kitchen fact:Insidecity
2018-12-13 12:45:12,311 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1853.jpg, predict:Insidecity fact:Insidecity
2018-12-13 12:45:12,337 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1979.jpg, predict:Insidecity fact:Insidecity
2018-12-13 12:45:12,359 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/2041.jpg, predict:industrial fact:Insidecity
2018-12-13 12:45:12,380 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1944.jpg, predict:kitchen fact:Insidecity
2018-12-13 12:45:12,403 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1238.jpg, predict:Insidecity fact:Insidecity
2018-12-13 12:45:12,430 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1360.jpg, predict:TallBuilding fact:Insidecity
2018-12-13 12:45:12,455 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/1994.jpg, predict:Suburb fact:Insidecity
2018-12-13 12:45:12,488 - image:/Users/weiziyang/CV_DATA/testing_tagged/Insidecity/2051.jpg, predict:Insidecity fact:Insidecity
2018-12-13 12:45:12,488 - category:Insidecity correct_ratio:35.0%
2018-12-13 12:45:12,519 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2909.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:12,542 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2921.jpg, predict:store fact:TallBuilding
2018-12-13 12:45:12,559 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/161.jpg, predict:Coast fact:TallBuilding
2018-12-13 12:45:12,579 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2885.jpg, predict:Insidecity fact:TallBuilding
2018-12-13 12:45:12,599 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2957.jpg, predict:bedroom fact:TallBuilding
2018-12-13 12:45:12,616 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2982.jpg, predict:Office fact:TallBuilding
2018-12-13 12:45:12,649 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/106.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:12,669 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/256.jpg, predict:Office fact:TallBuilding
2018-12-13 12:45:12,694 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2965.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:12,729 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/118.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:12,764 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/235.jpg, predict:Insidecity fact:TallBuilding
2018-12-13 12:45:12,790 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/208.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:12,840 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/94.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:12,874 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/181.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:12,903 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2730.jpg, predict:industrial fact:TallBuilding
2018-12-13 12:45:12,940 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2916.jpg, predict:bedroom fact:TallBuilding
2018-12-13 12:45:12,985 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/93.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:13,022 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2907.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:13,073 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/226.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:13,108 - image:/Users/weiziyang/CV_DATA/testing_tagged/TallBuilding/2911.jpg, predict:TallBuilding fact:TallBuilding
2018-12-13 12:45:13,108 - category:TallBuilding correct_ratio:55.00000000000001%
2018-12-13 12:45:13,153 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2114.jpg, predict:store fact:industrial
2018-12-13 12:45:13,182 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/969.jpg, predict:industrial fact:industrial
2018-12-13 12:45:13,205 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2310.jpg, predict:Coast fact:industrial
2018-12-13 12:45:13,242 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/944.jpg, predict:industrial fact:industrial
2018-12-13 12:45:13,269 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2402.jpg, predict:Street fact:industrial
2018-12-13 12:45:13,292 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/1111.jpg, predict:Coast fact:industrial
2018-12-13 12:45:13,317 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2183.jpg, predict:TallBuilding fact:industrial
2018-12-13 12:45:13,342 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2140.jpg, predict:industrial fact:industrial
2018-12-13 12:45:13,366 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2421.jpg, predict:Mountain fact:industrial
2018-12-13 12:45:13,388 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/56.jpg, predict:industrial fact:industrial
2018-12-13 12:45:13,414 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2450.jpg, predict:Insidecity fact:industrial
2018-12-13 12:45:13,435 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/82.jpg, predict:bedroom fact:industrial
2018-12-13 12:45:13,454 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2240.jpg, predict:Coast fact:industrial
2018-12-13 12:45:13,473 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/50.jpg, predict:industrial fact:industrial
2018-12-13 12:45:13,496 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/964.jpg, predict:Mountain fact:industrial
2018-12-13 12:45:13,516 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2085.jpg, predict:livingroom fact:industrial
2018-12-13 12:45:13,538 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/51.jpg, predict:TallBuilding fact:industrial
2018-12-13 12:45:13,557 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/2118.jpg, predict:Highway fact:industrial
2018-12-13 12:45:13,581 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/84.jpg, predict:industrial fact:industrial
2018-12-13 12:45:13,618 - image:/Users/weiziyang/CV_DATA/testing_tagged/industrial/972.jpg, predict:TallBuilding fact:industrial
2018-12-13 12:45:13,618 - category:industrial correct_ratio:30.0%
2018-12-13 12:45:13,647 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2274.jpg, predict:Insidecity fact:Street
2018-12-13 12:45:13,674 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/174.jpg, predict:TallBuilding fact:Street
2018-12-13 12:45:13,702 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2476.jpg, predict:store fact:Street
2018-12-13 12:45:13,724 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2313.jpg, predict:Street fact:Street
2018-12-13 12:45:13,746 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2348.jpg, predict:industrial fact:Street
2018-12-13 12:45:13,772 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2983.jpg, predict:TallBuilding fact:Street
2018-12-13 12:45:13,800 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/249.jpg, predict:Street fact:Street
2018-12-13 12:45:13,825 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/11.jpg, predict:Street fact:Street
2018-12-13 12:45:13,850 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2952.jpg, predict:Street fact:Street
2018-12-13 12:45:13,872 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/21.jpg, predict:Suburb fact:Street
2018-12-13 12:45:13,892 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/255.jpg, predict:industrial fact:Street
2018-12-13 12:45:13,913 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2430.jpg, predict:Insidecity fact:Street
2018-12-13 12:45:13,932 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2971.jpg, predict:Street fact:Street
2018-12-13 12:45:13,950 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2437.jpg, predict:bedroom fact:Street
2018-12-13 12:45:13,968 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/290.jpg, predict:Street fact:Street
2018-12-13 12:45:13,989 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/221.jpg, predict:Street fact:Street
2018-12-13 12:45:14,023 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/183.jpg, predict:TallBuilding fact:Street
2018-12-13 12:45:14,048 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/154.jpg, predict:Insidecity fact:Street
2018-12-13 12:45:14,068 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/2906.jpg, predict:industrial fact:Street
2018-12-13 12:45:14,090 - image:/Users/weiziyang/CV_DATA/testing_tagged/Street/190.jpg, predict:Street fact:Street
2018-12-13 12:45:14,090 - category:Street correct_ratio:40.0%
2018-12-13 12:45:14,109 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2882.jpg, predict:livingroom fact:livingroom
2018-12-13 12:45:14,134 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2699.jpg, predict:livingroom fact:livingroom
2018-12-13 12:45:14,160 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/1838.jpg, predict:Insidecity fact:livingroom
2018-12-13 12:45:14,183 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/1802.jpg, predict:kitchen fact:livingroom
2018-12-13 12:45:14,218 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/1584.jpg, predict:bedroom fact:livingroom
2018-12-13 12:45:14,250 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/1817.jpg, predict:livingroom fact:livingroom
2018-12-13 12:45:14,276 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2942.jpg, predict:industrial fact:livingroom
2018-12-13 12:45:14,299 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2943.jpg, predict:livingroom fact:livingroom
2018-12-13 12:45:14,319 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2612.jpg, predict:livingroom fact:livingroom
2018-12-13 12:45:14,335 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2799.jpg, predict:kitchen fact:livingroom
2018-12-13 12:45:14,356 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2763.jpg, predict:bedroom fact:livingroom
2018-12-13 12:45:14,379 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2817.jpg, predict:livingroom fact:livingroom
2018-12-13 12:45:14,409 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/1511.jpg, predict:industrial fact:livingroom
2018-12-13 12:45:14,430 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2756.jpg, predict:Mountain fact:livingroom
2018-12-13 12:45:14,460 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2757.jpg, predict:livingroom fact:livingroom
2018-12-13 12:45:14,484 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/2804.jpg, predict:kitchen fact:livingroom
2018-12-13 12:45:14,503 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/1671.jpg, predict:Office fact:livingroom
2018-12-13 12:45:14,522 - image:/Users/weiziyang/CV_DATA/testing_tagged/livingroom/1616.jpg, predict:industrial fact:livingroom
